"iid","icategoryid","ilanguageid","cname","ctitle","cdescription","ckeywords","cmetatitle","cmetakeyword","cmetadescription","ccontent","cclearanceimages","chotimages","cbackgroundimages"
"2543","1252","2","Receptores","Receptores",null,null,null,null,null,null,null,null,null
"2544","1253","2","Reproductores HDD","Reproductores HDD",null,null,null,null,null,null,null,null,null
"2545","1254","2","Otro reproductor de Video Multimedia","Otro reproductor de Video Multimedia",null,null,null,null,null,null,null,null,null
"2546","1255","2","Karaoke","Karaoke",null,null,null,null,null,null,null,null,null
"2547","1256","2","Micrófono micrófono para Karaoke","Micrófono micrófono para Karaoke",null,null,null,null,null,null,null,null,null
"2548","1257","2","Altavoces Subwoofers &","Altavoces Subwoofers &",null,null,null,null,null,null,null,null,null
"2549","1258","2","Reproductor de karaoke para PC/teléfono","Reproductor de karaoke para PC/teléfono",null,null,null,null,null,null,null,null,null
"2550","1259","2","Accesorios de proyector &","Accesorios de proyector &",null,null,null,null,null,null,null,null,null
"2551","1260","2","Proyectores de cine en casa","Proyectores de cine en casa",null,null,null,null,null,null,null,null,null
"2552","1261","2","Proyectores portátiles","Proyectores portátiles",null,null,null,null,null,null,null,null,null
"2553","1262","2","Proyectores LCD","Proyectores LCD",null,null,null,null,null,null,null,null,null
"2554","1263","2","Retroproyector","Retroproyector",null,null,null,null,null,null,null,null,null
"2555","1264","2","Gafas 3D & gafas de vídeo","Gafas 3D & gafas de vídeo",null,null,null,null,null,null,null,null,null
"2556","1265","2","Gafas 3D de cartón Google bricolaje","Gafas 3D de cartón Google bricolaje",null,null,null,null,null,null,null,null,null
"2557","1266","2","Virtual de vídeo gafas","Virtual de vídeo gafas",null,null,null,null,null,null,null,null,null
"2558","1267","2","A / V accesorios & Cables","A / V accesorios & Cables",null,null,null,null,null,null,null,null,null
"2559","1268","2","Cables de audio & Connecoors","Cables de audio & Connecoors",null,null,null,null,null,null,null,null,null
"2560","1269","2","Divisores de vídeo & interruptores","Divisores de vídeo & interruptores",null,null,null,null,null,null,null,null,null
"2561","1270","2","Accesorios para TV","Accesorios para TV",null,null,null,null,null,null,null,null,null
"2562","1271","2","Cables HDMI & adaptadores","Cables HDMI & adaptadores",null,null,null,null,null,null,null,null,null
"2563","1272","2","Cables ópticos/Toslink","Cables ópticos/Toslink",null,null,null,null,null,null,null,null,null
"2564","1273","2","Cables VGA","Cables VGA",null,null,null,null,null,null,null,null,null
"2565","1274","2","Cables S-video","Cables S-video",null,null,null,null,null,null,null,null,null
"2566","1275","2","Cables DVI","Cables DVI",null,null,null,null,null,null,null,null,null
"2567","1276","2","Cables AV","Cables AV",null,null,null,null,null,null,null,null,null
"2568","1277","2","Conectores RCA","Conectores RCA",null,null,null,null,null,null,null,null,null
"2569","1278","2","Cargadores de baterías &","Cargadores de baterías &",null,null,null,null,null,null,null,null,null
"2570","1279","2","Baterías","Baterías",null,null,null,null,null,null,null,null,null
"2571","1280","2","Cargadores & adaptadores","Cargadores & adaptadores",null,null,null,null,null,null,null,null,null
"2572","1281","2","Cargador solar","Cargador solar",null,null,null,null,null,null,null,null,null
"2573","1282","2","Reproductor de DVD","Reproductor de DVD",null,null,null,null,null,null,null,null,null
"2574","1283","2","Pantalla inalámbrica Dongle","Pantalla inalámbrica Dongle",null,null,null,null,null,null,null,null,null
"2575","1284","2","Receptor de satélite","Receptor de satélite",null,null,null,null,null,null,null,null,null
"2576","1285","2","Altavoces Subwoofers &","Altavoces Subwoofers &",null,null,null,null,null,null,null,null,null
"2577","1286","2","Radios","Radios",null,null,null,null,null,null,null,null,null
"2578","1287","2","Reproductores de CD & grabadoras","Reproductores de CD & grabadoras",null,null,null,null,null,null,null,null,null
"2579","1288","2","MP3 MP4 & reproductores MP5","MP3 MP4 & reproductores MP5",null,null,null,null,null,null,null,null,null
"2580","1289","2","Reproductores de CD & grabadoras","Reproductores de CD & grabadoras",null,null,null,null,null,null,null,null,null
"2581","1290","2","Otros electrónicos de consumo","Otros electrónicos de consumo",null,null,null,null,null,null,null,null,null
"2582","1","4","Tablet PC & Handy","Tablet PC & Handy",null,null,null,null,null,null,null,null,null
"2583","2","4","Handys","Handys",null,null,null,null,null,null,null,null,null
"2584","3","4","Lenovo","Lenovo",null,null,null,null,null,null,null,null,null
"2585","4","4","HUAWEI","HUAWEI",null,null,null,null,null,null,null,null,null
"2586","5","4","Xiaomi","Xiaomi",null,null,null,null,null,null,null,null,null
"2587","6","4","Cubot","Cubot",null,null,null,null,null,null,null,null,null
"2588","7","4","HTC","HTC",null,null,null,null,null,null,null,null,null
"2589","8","4","ZTE","ZTE",null,null,null,null,null,null,null,null,null
"2590","9","4","THL","THL",null,null,null,null,null,null,null,null,null
"2591","10","4","TCL","TCL",null,null,null,null,null,null,null,null,null
"2592","11","4","ZOPO","ZOPO",null,null,null,null,null,null,null,null,null
"2593","12","4","Elefon","Elefon",null,null,null,null,null,null,null,null,null
"2594","13","4","DOOGEE","DOOGEE",null,null,null,null,null,null,null,null,null
"2595","14","4","JIAYU","JIAYU",null,null,null,null,null,null,null,null,null
"2596","15","4","Tengda","Tengda",null,null,null,null,null,null,null,null,null
"2597","16","4","iNew","iNew",null,null,null,null,null,null,null,null,null
"2598","17","4","Nr. 1","Nr. 1",null,null,null,null,null,null,null,null,null
"2599","18","4","ONN","ONN",null,null,null,null,null,null,null,null,null
"2600","19","4","Otium","Otium",null,null,null,null,null,null,null,null,null
"2601","20","4","UMI","UMI",null,null,null,null,null,null,null,null,null
"2602","21","4","MIJUE","MIJUE",null,null,null,null,null,null,null,null,null
"2603","22","4","iocean","iocean",null,null,null,null,null,null,null,null,null
"2604","23","4","Drfy Telefone","Drfy Telefone",null,null,null,null,null,null,null,null,null
"2605","25","4","Macht Banken","Macht Banken",null,null,null,null,null,null,null,null,null
"2606","26","4","Bluetooth-Kopfhörer","Bluetooth-Kopfhörer",null,null,null,null,null,null,null,null,null
"2607","27","4","Telefon-Akkus","Telefon-Akkus",null,null,null,null,null,null,null,null,null
"2608","28","4","Handy Datenkabel","Handy Datenkabel",null,null,null,null,null,null,null,null,null
"2609","29","4","Audio Zubehör und Kopfhörer","Audio Zubehör und Kopfhörer",null,null,null,null,null,null,null,null,null
"2610","30","4","Telefon-Schutz-Fällen","Telefon-Schutz-Fällen",null,null,null,null,null,null,null,null,null
"2611","31","4","DIY Tools","DIY Tools",null,null,null,null,null,null,null,null,null
"2612","32","4","Fahrzeug montiert Zubehör","Fahrzeug montiert Zubehör",null,null,null,null,null,null,null,null,null
"2613","33","4","Apple Zubehör","Apple Zubehör",null,null,null,null,null,null,null,null,null
"2614","34","4","Originalität-Zubehör","Originalität-Zubehör",null,null,null,null,null,null,null,null,null
"2615","35","4","Telefon-Schutz-Zubehör","Telefon-Schutz-Zubehör",null,null,null,null,null,null,null,null,null
"2616","36","4","Portable / Wireless Lautsprecher","Portable / Wireless Lautsprecher",null,null,null,null,null,null,null,null,null
"2617","37","4","Telefon-Objektiv","Telefon-Objektiv",null,null,null,null,null,null,null,null,null
"2618","38","4","Smart Equipments","Smart Equipments",null,null,null,null,null,null,null,null,null
"2619","39","4","Andere Tablet-Zubehör","Andere Tablet-Zubehör",null,null,null,null,null,null,null,null,null
"2620","40","4","Tablet PC Zubehör","Tablet PC Zubehör",null,null,null,null,null,null,null,null,null
"2621","41","4","Tablet-PC","Tablet-PC",null,null,null,null,null,null,null,null,null
"2622","42","4","Tablet PC-Schutzkappen","Tablet PC-Schutzkappen",null,null,null,null,null,null,null,null,null
"2623","43","4","Tablet-PC Back-Fällen","Tablet-PC Back-Fällen",null,null,null,null,null,null,null,null,null
"2624","44","4","Tablet-PC-Kabel","Tablet-PC-Kabel",null,null,null,null,null,null,null,null,null
"2625","45","4","Tablet PC-Halter","Tablet PC-Halter",null,null,null,null,null,null,null,null,null
"2626","46","4","Tablet PC Fahrzeug montierte Anlagen","Tablet PC Fahrzeug montierte Anlagen",null,null,null,null,null,null,null,null,null
"2627","47","4","Originalität-Zubehör","Originalität-Zubehör",null,null,null,null,null,null,null,null,null
"2628","48","4","Kapazitätserweiterung","Kapazitätserweiterung",null,null,null,null,null,null,null,null,null
"2629","49","4","Andere Tablet-Zubehör","Andere Tablet-Zubehör",null,null,null,null,null,null,null,null,null
"2630","50","4","Sport & im freien","Sport & im freien",null,null,null,null,null,null,null,null,null
"2631","51","4","Radfahren","Radfahren",null,null,null,null,null,null,null,null,null
"2632","52","4","Scheinwerfer","Scheinwerfer",null,null,null,null,null,null,null,null,null
"2633","53","4","Fahrrad Lichter","Fahrrad Lichter",null,null,null,null,null,null,null,null,null
"2634","54","4","Bike-Zubehör","Bike-Zubehör",null,null,null,null,null,null,null,null,null
"2635","55","4","Fahrräder","Fahrräder",null,null,null,null,null,null,null,null,null
"2636","56","4","Fixed Gear Bikes","Fixed Gear Bikes",null,null,null,null,null,null,null,null,null
"2637","57","4","Rad-Tools","Rad-Tools",null,null,null,null,null,null,null,null,null
"2638","58","4","Radcomputer","Radcomputer",null,null,null,null,null,null,null,null,null
"2639","59","4","Fahrrad Halter","Fahrrad Halter",null,null,null,null,null,null,null,null,null
"2640","60","4","Tasche Zubehör","Tasche Zubehör",null,null,null,null,null,null,null,null,null
"2641","61","4","Fahrradhelme","Fahrradhelme",null,null,null,null,null,null,null,null,null
"2642","62","4","Sättel","Sättel",null,null,null,null,null,null,null,null,null
"2643","63","4","Fahrrad Pedale","Fahrrad Pedale",null,null,null,null,null,null,null,null,null
"2644","64","4","Fahrrad-Handschuhe","Fahrrad-Handschuhe",null,null,null,null,null,null,null,null,null
"2645","65","4","Fahrrad Aufkleber","Fahrrad Aufkleber",null,null,null,null,null,null,null,null,null
"2646","66","4","Wasserflaschen","Wasserflaschen",null,null,null,null,null,null,null,null,null
"2647","67","4","Pumpen","Pumpen",null,null,null,null,null,null,null,null,null
"2648","68","4","Reifen- & -Rohre &","Reifen- & -Rohre &",null,null,null,null,null,null,null,null,null
"2649","69","4","Radfahren Kopf Schals","Radfahren Kopf Schals",null,null,null,null,null,null,null,null,null
"2650","70","4","Radsport Bekleidung","Radsport Bekleidung",null,null,null,null,null,null,null,null,null
"2651","71","4","Angeln","Angeln",null,null,null,null,null,null,null,null,null
"2652","72","4","Angelruten","Angelruten",null,null,null,null,null,null,null,null,null
"2653","73","4","Fischenbandspulen","Fischenbandspulen",null,null,null,null,null,null,null,null,null
"2654","74","4","Angeln-Linien","Angeln-Linien",null,null,null,null,null,null,null,null,null
"2655","75","4","Angeln Köder","Angeln Köder",null,null,null,null,null,null,null,null,null
"2656","76","4","Fischen Haken","Fischen Haken",null,null,null,null,null,null,null,null,null
"2657","77","4","Angeln Schwimmer","Angeln Schwimmer",null,null,null,null,null,null,null,null,null
"2658","78","4","Angeln-Handschuhe","Angeln-Handschuhe",null,null,null,null,null,null,null,null,null
"2659","79","4","Angeln-Boxen","Angeln-Boxen",null,null,null,null,null,null,null,null,null
"2660","80","4","Angeln-Lights","Angeln-Lights",null,null,null,null,null,null,null,null,null
"2661","81","4","Angeln-Taschen","Angeln-Taschen",null,null,null,null,null,null,null,null,null
"2662","82","4","Angeln Wear","Angeln Wear",null,null,null,null,null,null,null,null,null
"2663","83","4","Instrumente & Geräte","Instrumente & Geräte",null,null,null,null,null,null,null,null,null
"2664","84","4","Fliege Bandspulen","Fliege Bandspulen",null,null,null,null,null,null,null,null,null
"2665","85","4","Fliegen-Köder","Fliegen-Köder",null,null,null,null,null,null,null,null,null
"2666","86","4","Camping & Wandern","Camping & Wandern",null,null,null,null,null,null,null,null,null
"2667","87","4","Outdoor Tools","Outdoor Tools",null,null,null,null,null,null,null,null,null
"2668","88","4","Teleskop- & -Fernglas","Teleskop- & -Fernglas",null,null,null,null,null,null,null,null,null
"2669","89","4","Schlafsäcke","Schlafsäcke",null,null,null,null,null,null,null,null,null
"2670","90","4","Zelte","Zelte",null,null,null,null,null,null,null,null,null
"2671","91","4","Outdoor Laternen","Outdoor Laternen",null,null,null,null,null,null,null,null,null
"2672","92","4","Rucksäcke","Rucksäcke",null,null,null,null,null,null,null,null,null
"2673","93","4","Reise-Zubehör","Reise-Zubehör",null,null,null,null,null,null,null,null,null
"2674","94","4","Kompasse","Kompasse",null,null,null,null,null,null,null,null,null
"2675","95","4","Outdoor Geräte","Outdoor Geräte",null,null,null,null,null,null,null,null,null
"2676","96","4","Notfall & Überlebenswerkzeuge &","Notfall & Überlebenswerkzeuge &",null,null,null,null,null,null,null,null,null
"2677","97","4","Camping Matten","Camping Matten",null,null,null,null,null,null,null,null,null
"2678","98","4","Camping Möbel","Camping Möbel",null,null,null,null,null,null,null,null,null
"2679","99","4","Sport & Body Building &","Sport & Body Building &",null,null,null,null,null,null,null,null,null
"2680","100","4","Wearable Sport Elektronik","Wearable Sport Elektronik",null,null,null,null,null,null,null,null,null
"2681","101","4","Ballspiele","Ballspiele",null,null,null,null,null,null,null,null,null
"2682","102","4","Körperliche Fitness","Körperliche Fitness",null,null,null,null,null,null,null,null,null
"2683","103","4","Yoga","Yoga",null,null,null,null,null,null,null,null,null
"2684","104","4","Boxen","Boxen",null,null,null,null,null,null,null,null,null
"2685","105","4","Golf","Golf",null,null,null,null,null,null,null,null,null
"2686","106","4","Extremsport","Extremsport",null,null,null,null,null,null,null,null,null
"2687","107","4","Andere","Andere",null,null,null,null,null,null,null,null,null
"2688","108","4","Schienbeinschutz","Schienbeinschutz",null,null,null,null,null,null,null,null,null
"2689","109","4","Fitness-Taschen","Fitness-Taschen",null,null,null,null,null,null,null,null,null
"2690","110","4","Pullover","Pullover",null,null,null,null,null,null,null,null,null
"2691","111","4","Untergewand","Untergewand",null,null,null,null,null,null,null,null,null
"2692","112","4","Gymnastik-Bänder","Gymnastik-Bänder",null,null,null,null,null,null,null,null,null
"2693","113","4","Fitness-Handschuhe","Fitness-Handschuhe",null,null,null,null,null,null,null,null,null
"2694","114","4","Rope Skipping","Rope Skipping",null,null,null,null,null,null,null,null,null
"2695","115","4","Handgelenk-Entwickler","Handgelenk-Entwickler",null,null,null,null,null,null,null,null,null
"2696","116","4","Freizeitparks","Freizeitparks",null,null,null,null,null,null,null,null,null
"2697","117","4","Drachen","Drachen",null,null,null,null,null,null,null,null,null
"2698","118","4","Beach-Sport","Beach-Sport",null,null,null,null,null,null,null,null,null
"2699","119","4","Sonnenbrillen","Sonnenbrillen",null,null,null,null,null,null,null,null,null
"2700","120","4","Schwimmbrille","Schwimmbrille",null,null,null,null,null,null,null,null,null
"2701","121","4","Tauchen","Tauchen",null,null,null,null,null,null,null,null,null
"2702","122","4","Bademode","Bademode",null,null,null,null,null,null,null,null,null
"2703","123","4","Tauchen Maske & Schnorchel &","Tauchen Maske & Schnorchel &",null,null,null,null,null,null,null,null,null
"2704","124","4","Surfen & Bootfahren","Surfen & Bootfahren",null,null,null,null,null,null,null,null,null
"2705","125","4","Schwimmen-Caps","Schwimmen-Caps",null,null,null,null,null,null,null,null,null
"2706","126","4","Wintersport","Wintersport",null,null,null,null,null,null,null,null,null
"2707","127","4","Ski-Helme","Ski-Helme",null,null,null,null,null,null,null,null,null
"2708","128","4","Skibrillen","Skibrillen",null,null,null,null,null,null,null,null,null
"2709","129","4","Handschuhe","Handschuhe",null,null,null,null,null,null,null,null,null
"2710","131","4","Skifahren Gears","Skifahren Gears",null,null,null,null,null,null,null,null,null
"2711","132","4","Steigeisen","Steigeisen",null,null,null,null,null,null,null,null,null
"2712","133","4","Ballspiele","Ballspiele",null,null,null,null,null,null,null,null,null
"2713","134","4","Tennis & andere","Tennis & andere",null,null,null,null,null,null,null,null,null
"2714","135","4","Badminton & andere","Badminton & andere",null,null,null,null,null,null,null,null,null
"2715","136","4","Tischtennis & andere","Tischtennis & andere",null,null,null,null,null,null,null,null,null
"2716","137","4","Volleyball & andere","Volleyball & andere",null,null,null,null,null,null,null,null,null
"2717","138","4","Basketball & andere","Basketball & andere",null,null,null,null,null,null,null,null,null
"2718","139","4","Fußball & andere","Fußball & andere",null,null,null,null,null,null,null,null,null
"2719","140","4","Reise-Equipment","Reise-Equipment",null,null,null,null,null,null,null,null,null
"2720","141","4","Lagercontainer","Lagercontainer",null,null,null,null,null,null,null,null,null
"2721","142","4","OthersTravel Zubehör","OthersTravel Zubehör",null,null,null,null,null,null,null,null,null
"2722","143","4","Andere","Andere",null,null,null,null,null,null,null,null,null
"2723","145","4","UNI-T","UNI-T",null,null,null,null,null,null,null,null,null
"2724","146","4","Digitalmultimeter","Digitalmultimeter",null,null,null,null,null,null,null,null,null
"2725","147","4","Zangenmessgeräte","Zangenmessgeräte",null,null,null,null,null,null,null,null,null
"2726","148","4","Umwelt-Tester","Umwelt-Tester",null,null,null,null,null,null,null,null,null
"2727","149","4","Andere","Andere",null,null,null,null,null,null,null,null,null
"2728","150","4","MASTECH","MASTECH",null,null,null,null,null,null,null,null,null
"2729","151","4","Digitalmultimeter","Digitalmultimeter",null,null,null,null,null,null,null,null,null
"2730","152","4","Zangenmessgeräte","Zangenmessgeräte",null,null,null,null,null,null,null,null,null
"2731","153","4","Umwelt-Tester","Umwelt-Tester",null,null,null,null,null,null,null,null,null
"2732","154","4","Andere","Andere",null,null,null,null,null,null,null,null,null
"2733","155","4","Elektrotechnisches Messgerät","Elektrotechnisches Messgerät",null,null,null,null,null,null,null,null,null
"2734","156","4","Digitalmultimeter","Digitalmultimeter",null,null,null,null,null,null,null,null,null
"2735","157","4","Zangenmessgeräte","Zangenmessgeräte",null,null,null,null,null,null,null,null,null
"2736","159","4","Andere","Andere",null,null,null,null,null,null,null,null,null
"2737","160","4","Environal Mess-und Steuergeräte","Environal Mess-und Steuergeräte",null,null,null,null,null,null,null,null,null
"2738","161","4","Infrarot-Thermometer","Infrarot-Thermometer",null,null,null,null,null,null,null,null,null
"2739","162","4","Temperatur & Luftfeuchtigkeit Instrument","Temperatur & Luftfeuchtigkeit Instrument",null,null,null,null,null,null,null,null,null
"2740","164","4","Wasser-Qualität-Analyse-Instrument","Wasser-Qualität-Analyse-Instrument",null,null,null,null,null,null,null,null,null
"2741","165","4","Boden-Analyse-Instrument","Boden-Analyse-Instrument",null,null,null,null,null,null,null,null,null
"2742","166","4","Illuminometer","Illuminometer",null,null,null,null,null,null,null,null,null
"2743","167","4","Vibration- & -Noisemeter","Vibration- & -Noisemeter",null,null,null,null,null,null,null,null,null
"2744","168","4","Atem-Alkohol-Tester","Atem-Alkohol-Tester",null,null,null,null,null,null,null,null,null
"2745","169","4","Kommunikationsinstrumente","Kommunikationsinstrumente",null,null,null,null,null,null,null,null,null
"2746","170","4","Andere","Andere",null,null,null,null,null,null,null,null,null
"2747","171","4","Optisches Gerät","Optisches Gerät",null,null,null,null,null,null,null,null,null
"2748","172","4","Mikroskop","Mikroskop",null,null,null,null,null,null,null,null,null
"2749","173","4","Lupe","Lupe",null,null,null,null,null,null,null,null,null
"2750","174","4","Optisches Messgerät","Optisches Messgerät",null,null,null,null,null,null,null,null,null
"2751","175","4","Endoskope","Endoskope",null,null,null,null,null,null,null,null,null
"2752","176","4","Messinstrument","Messinstrument",null,null,null,null,null,null,null,null,null
"2753","177","4","Balance & mit einem Gewicht von Apparat","Balance & mit einem Gewicht von Apparat",null,null,null,null,null,null,null,null,null
"2754","178","4","Länge Mess-Instrument","Länge Mess-Instrument",null,null,null,null,null,null,null,null,null
"2755","179","4","Andere","Andere",null,null,null,null,null,null,null,null,null
"2756","180","4","Hardware-Gadgets","Hardware-Gadgets",null,null,null,null,null,null,null,null,null
"2757","181","4","Wartungstools","Wartungstools",null,null,null,null,null,null,null,null,null
"2758","182","4","Elektro- & -Pneumatik-Werkzeuge","Elektro- & -Pneumatik-Werkzeuge",null,null,null,null,null,null,null,null,null
"2759","183","4","Schleifwerkzeuge","Schleifwerkzeuge",null,null,null,null,null,null,null,null,null
"2760","184","4","Sprying Malwerkzeuge","Sprying Malwerkzeuge",null,null,null,null,null,null,null,null,null
"2761","185","4","Andere","Andere",null,null,null,null,null,null,null,null,null
"2762","186","4","Elektrisches Zubehör","Elektrisches Zubehör",null,null,null,null,null,null,null,null,null
"2763","187","4","& In Computernetzwerken","& In Computernetzwerken",null,null,null,null,null,null,null,null,null
"2764","188","4","Tastaturen, Mäuse & Eingabe","Tastaturen, Mäuse & Eingabe",null,null,null,null,null,null,null,null,null
"2765","189","4","Tastatur","Tastatur",null,null,null,null,null,null,null,null,null
"2766","190","4","Mäuse","Mäuse",null,null,null,null,null,null,null,null,null
"2767","191","4","Barcode-Scanner","Barcode-Scanner",null,null,null,null,null,null,null,null,null
"2768","192","4","Andere","Andere",null,null,null,null,null,null,null,null,null
"2769","193","4","Computer-Zubehör","Computer-Zubehör",null,null,null,null,null,null,null,null,null
"2770","194","4","USB-Hubs","USB-Hubs",null,null,null,null,null,null,null,null,null
"2771","195","4","& Mikrofone Headsets","& Mikrofone Headsets",null,null,null,null,null,null,null,null,null
"2772","196","4","Lautsprecher","Lautsprecher",null,null,null,null,null,null,null,null,null
"2773","197","4","TV-Karten, Tuner","TV-Karten, Tuner",null,null,null,null,null,null,null,null,null
"2774","198","4","Kartenleser","Kartenleser",null,null,null,null,null,null,null,null,null
"2775","199","4","PCMCIA-Karten","PCMCIA-Karten",null,null,null,null,null,null,null,null,null
"2776","200","4","Soundkarten","Soundkarten",null,null,null,null,null,null,null,null,null
"2777","201","4","Webcams & PC-Kameras","Webcams & PC-Kameras",null,null,null,null,null,null,null,null,null
"2778","202","4","PC-Fernbedienung","PC-Fernbedienung",null,null,null,null,null,null,null,null,null
"2779","203","4","Ladegeräte- & -Adapter","Ladegeräte- & -Adapter",null,null,null,null,null,null,null,null,null
"2780","204","4","CD-ROM & Floppy-Laufwerke","CD-ROM & Floppy-Laufwerke",null,null,null,null,null,null,null,null,null
"2781","205","4","Andere","Andere",null,null,null,null,null,null,null,null,null
"2782","206","4","Flash-Laufwerke & Speicher","Flash-Laufwerke & Speicher",null,null,null,null,null,null,null,null,null
"2783","207","4","Flash-Disk","Flash-Disk",null,null,null,null,null,null,null,null,null
"2784","208","4","Mini-SD-Karten","Mini-SD-Karten",null,null,null,null,null,null,null,null,null
"2785","209","4","SD-Karten","SD-Karten",null,null,null,null,null,null,null,null,null
"2786","210","4","Micro-Karten","Micro-Karten",null,null,null,null,null,null,null,null,null
"2787","211","4","XD-Karten","XD-Karten",null,null,null,null,null,null,null,null,null
"2788","212","4","MMC-Karten","MMC-Karten",null,null,null,null,null,null,null,null,null
"2789","213","4","MS Pro Duo","MS Pro Duo",null,null,null,null,null,null,null,null,null
"2790","214","4","CF-Karten","CF-Karten",null,null,null,null,null,null,null,null,null
"2791","215","4","Portable Disk & Gehäuse","Portable Disk & Gehäuse",null,null,null,null,null,null,null,null,null
"2792","216","4","Memory Card Zubehör","Memory Card Zubehör",null,null,null,null,null,null,null,null,null
"2793","217","4","Kabel- & -Steckverbinder","Kabel- & -Steckverbinder",null,null,null,null,null,null,null,null,null
"2794","218","4","USB-Kabel & Adapter","USB-Kabel & Adapter",null,null,null,null,null,null,null,null,null
"2795","219","4","FireWire-Kabel","FireWire-Kabel",null,null,null,null,null,null,null,null,null
"2796","220","4","Steckverbinder","Steckverbinder",null,null,null,null,null,null,null,null,null
"2797","221","4","RS232-Serie","RS232-Serie",null,null,null,null,null,null,null,null,null
"2798","222","4","Andere Kabel","Andere Kabel",null,null,null,null,null,null,null,null,null
"2799","223","4","IDE/SATA &","IDE/SATA &",null,null,null,null,null,null,null,null,null
"2800","224","4","Laptops, Notebooks","Laptops, Notebooks",null,null,null,null,null,null,null,null,null
"2801","225","4","Laptop-Ladegeräte & Adapter","Laptop-Ladegeräte & Adapter",null,null,null,null,null,null,null,null,null
"2802","226","4","Laptop-Batterien","Laptop-Batterien",null,null,null,null,null,null,null,null,null
"2803","227","4","Cooling Pad","Cooling Pad",null,null,null,null,null,null,null,null,null
"2804","228","4","Laptop-Tasche & Tasche","Laptop-Tasche & Tasche",null,null,null,null,null,null,null,null,null
"2805","229","4","Mac Zubehör","Mac Zubehör",null,null,null,null,null,null,null,null,null
"2806","230","4","Vernetzung & Communications","Vernetzung & Communications",null,null,null,null,null,null,null,null,null
"2807","231","4","Netzwerkkabel & Steckverbinder","Netzwerkkabel & Steckverbinder",null,null,null,null,null,null,null,null,null
"2808","232","4","Modems & Hubs & Schalter","Modems & Hubs & Schalter",null,null,null,null,null,null,null,null,null
"2809","233","4","Vernetzung & Telecom-Tools","Vernetzung & Telecom-Tools",null,null,null,null,null,null,null,null,null
"2810","234","4","Drahtlose Netzwerke","Drahtlose Netzwerke",null,null,null,null,null,null,null,null,null
"2811","235","4","Druckerzubehör & Zubehör","Druckerzubehör & Zubehör",null,null,null,null,null,null,null,null,null
"2812","236","4","USB-Gadgets","USB-Gadgets",null,null,null,null,null,null,null,null,null
"2813","237","4","USB-Ventilator","USB-Ventilator",null,null,null,null,null,null,null,null,null
"2814","238","4","USB-Lampe","USB-Lampe",null,null,null,null,null,null,null,null,null
"2815","239","4","USB Telefon","USB Telefon",null,null,null,null,null,null,null,null,null
"2816","240","4","USB Home Improvement","USB Home Improvement",null,null,null,null,null,null,null,null,null
"2817","241","4","Andere USB Gadgets","Andere USB Gadgets",null,null,null,null,null,null,null,null,null
"2818","242","4","Bluetooth- & -IrDA","Bluetooth- & -IrDA",null,null,null,null,null,null,null,null,null
"2819","243","4","Kameras & Fotozubehör","Kameras & Fotozubehör",null,null,null,null,null,null,null,null,null
"2820","244","4","Fotografische waren","Fotografische waren",null,null,null,null,null,null,null,null,null
"2821","245","4","Camcorder & Digitalkameras","Camcorder & Digitalkameras",null,null,null,null,null,null,null,null,null
"2822","246","4","Digitalkameras","Digitalkameras",null,null,null,null,null,null,null,null,null
"2823","247","4","Digitale Bilderrahmen","Digitale Bilderrahmen",null,null,null,null,null,null,null,null,null
"2824","248","4","Sport-Kameras","Sport-Kameras",null,null,null,null,null,null,null,null,null
"2825","249","4","Mini-Kameras","Mini-Kameras",null,null,null,null,null,null,null,null,null
"2826","250","4","Blitze & Blitz-Zubehör","Blitze & Blitz-Zubehör",null,null,null,null,null,null,null,null,null
"2827","251","4","Blitze Speedlites","Blitze Speedlites",null,null,null,null,null,null,null,null,null
"2828","252","4","Ringlicht blinkt","Ringlicht blinkt",null,null,null,null,null,null,null,null,null
"2829","253","4","Diffusoren","Diffusoren",null,null,null,null,null,null,null,null,null
"2830","254","4","Flash Trigger","Flash Trigger",null,null,null,null,null,null,null,null,null
"2831","255","4","Flash Kabel","Flash Kabel",null,null,null,null,null,null,null,null,null
"2832","256","4","Heiße Schuhe","Heiße Schuhe",null,null,null,null,null,null,null,null,null
"2833","257","4","Andere","Andere",null,null,null,null,null,null,null,null,null
"2834","258","4","LED Video Lights & Zubehör","LED Video Lights & Zubehör",null,null,null,null,null,null,null,null,null
"2835","259","4","LED-Video-Licht","LED-Video-Licht",null,null,null,null,null,null,null,null,null
"2836","260","4","LED-Video-Zubehör","LED-Video-Zubehör",null,null,null,null,null,null,null,null,null
"2837","261","4","Objektive und Filter","Objektive und Filter",null,null,null,null,null,null,null,null,null
"2838","262","4","UV-Filter-Objektiv &","UV-Filter-Objektiv &",null,null,null,null,null,null,null,null,null
"2839","263","4","Kamera-Objektive","Kamera-Objektive",null,null,null,null,null,null,null,null,null
"2840","264","4","Gegenlichtblenden","Gegenlichtblenden",null,null,null,null,null,null,null,null,null
"2841","265","4","Makro-Zwischenringe","Makro-Zwischenringe",null,null,null,null,null,null,null,null,null
"2842","266","4","Sucher","Sucher",null,null,null,null,null,null,null,null,null
"2843","267","4","& Konverter Adapter","& Konverter Adapter",null,null,null,null,null,null,null,null,null
"2844","268","4","ND-Filter","ND-Filter",null,null,null,null,null,null,null,null,null
