"iid","iwebsiteid","icategoryid","iparentid","cpath","ilevel","iposition","ichildrencount"
"623","1","623","616","Car-Accessories/Exhaust/Heat-Risers","3",null,null
"624","1","624","616","Car-Accessories/Exhaust/Mufflers","3",null,null
"625","1","625","616","Car-Accessories/Exhaust/Other","3",null,null
"626","1","626","492","Car-Accessories/Exterior","2",null,null
"627","1","627","626","Car-Accessories/Exterior/Air-Dams","3",null,null
"628","1","628","626","Car-Accessories/Exterior/Antennas","3",null,null
"629","1","629","626","Car-Accessories/Exterior/Body-Kits","3",null,null
"630","1","630","626","Car-Accessories/Exterior/Bras","3",null,null
"631","1","631","626","Car-Accessories/Exterior/Bug-Shields","3",null,null
"632","1","632","626","Car-Accessories/Exterior/Bumpers","3",null,null
"633","1","633","626","Car-Accessories/Exterior/Car-Covers","3",null,null
"634","1","634","626","Car-Accessories/Exterior/Door-Hinge-Conversion-KitsDoor-Hinge-Conversion-Kits","3",null,null
"635","1","635","626","Car-Accessories/Exterior/Exterior-Door-Panels-FramesExterior-Door-Panels-Frames","3",null,null
"636","1","636","626","Car-Accessories/Exterior/Exterior-Door-Handles","3",null,null
"637","1","637","626","Car-Accessories/Exterior/Fenders","3",null,null
"638","1","638","626","Car-Accessories/Exterior/Grilles","3",null,null
"639","1","639","626","Car-Accessories/Exterior/Hoods","3",null,null
"640","1","640","626","Car-Accessories/Exterior/Locks-Hardware","3",null,null
"641","1","641","626","Car-Accessories/Exterior/Mirrors","3",null,null
"642","1","642","626","Car-Accessories/Exterior/Mouldings-TrimTrim","3",null,null
"643","1","643","626","Car-Accessories/Exterior/Nerf-Bars-Running-Boards","3",null,null
"644","1","644","626","Car-Accessories/Exterior/Racks","3",null,null
"645","1","645","626","Car-Accessories/Exterior/Snow-Plows-Parts","3",null,null
"646","1","646","626","Car-Accessories/Exterior/Splash-Guards-Mud-Flaps","3",null,null
"647","1","647","626","Car-Accessories/Exterior/Spoilers-Wings","3",null,null
"648","1","648","626","Car-Accessories/Exterior/Sunroof-Convertible-Hardtop-","3",null,null
"649","1","649","626","Car-Accessories/Exterior/Tailgates-LiftgatesLiftgates","3",null,null
"650","1","650","626","Car-Accessories/Exterior/Towing-Hauling","3",null,null
"651","1","651","626","Car-Accessories/Exterior/Truck-Bed-Accessories","3",null,null
"652","1","652","626","Car-Accessories/Exterior/Trunk-Lids-Parts","3",null,null
"653","1","653","626","Car-Accessories/Exterior/Windshield-Wiper-Blades","3",null,null
"654","1","654","626","Car-Accessories/Exterior/Windshield-Wiper-Systems","3",null,null
"655","1","655","626","Car-Accessories/Exterior/Other","3",null,null
"656","1","656","492","Car-Accessories/Filters","2",null,null
"657","1","657","656","Car-Accessories/Filters/Air-Filters","3",null,null
"658","1","658","656","Car-Accessories/Filters/Fuel-Filters","3",null,null
"659","1","659","656","Car-Accessories/Filters/Oil-Filters","3",null,null
"660","1","660","656","Car-Accessories/Filters/Transmission-Filters","3",null,null
"661","1","661","656","Car-Accessories/Filters/Other","3",null,null
"662","1","662","492","Car-Accessories/Gaskets","2",null,null
"663","1","663","662","Car-Accessories/Gaskets/Cyl-Head-Valve-Cover-GasketCYL-","3",null,null
"664","1","664","662","Car-Accessories/Gaskets/Exhaust-Gaskets","3",null,null
"665","1","665","662","Car-Accessories/Gaskets/Full-Set-Gaskets","3",null,null
"666","1","666","662","Car-Accessories/Gaskets/Intake-Gaskets","3",null,null
"667","1","667","662","Car-Accessories/Gaskets/Oil-Pan-Gaskets","3",null,null
"668","1","668","662","Car-Accessories/Gaskets/Other","3",null,null
"669","1","669","492","Car-Accessories/Gauges","2",null,null
"670","1","670","669","Car-Accessories/Gauges/Boost-Gauges","3",null,null
"671","1","671","669","Car-Accessories/Gauges/Clocks","3",null,null
"672","1","672","669","Car-Accessories/Gauges/Fuel-Gauges","3",null,null
"673","1","673","669","Car-Accessories/Gauges/Gauge-Trim","3",null,null
"674","1","674","669","Car-Accessories/Gauges/Glow-Gauges","3",null,null
"675","1","675","669","Car-Accessories/Gauges/Instrument-Clusters","3",null,null
"676","1","676","669","Car-Accessories/Gauges/Oil-Pressure-Gauges","3",null,null
"677","1","677","669","Car-Accessories/Gauges/Panel-Gauges","3",null,null
"678","1","678","669","Car-Accessories/Gauges/Speedometers","3",null,null
"679","1","679","669","Car-Accessories/Gauges/Tachometers","3",null,null
"680","1","680","669","Car-Accessories/Gauges/Vacuum-Gauges","3",null,null
"681","1","681","669","Car-Accessories/Gauges/Volt-Meters","3",null,null
"682","1","682","669","Car-Accessories/Gauges/Water-Temp-Gauges","3",null,null
"683","1","683","669","Car-Accessories/Gauges/Other","3",null,null
"684","1","684","492","Car-Accessories/Glass","2",null,null
"685","1","685","684","Car-Accessories/Glass/Auto-Glass","3",null,null
"686","1","686","684","Car-Accessories/Glass/Auto-Seals","3",null,null
"687","1","687","684","Car-Accessories/Glass/Window-Tint","3",null,null
"688","1","688","684","Car-Accessories/Glass/Windshields","3",null,null
"689","1","689","684","Car-Accessories/Glass/Other","3",null,null
"690","1","690","492","Car-Accessories/Ignition-System","2",null,null
"691","1","691","690","Car-Accessories/Ignition-System/Caps-Rotors-Contacts-","3",null,null
"692","1","692","690","Car-Accessories/Ignition-System/Coils-Modules-Pick-Ups-","3",null,null
"693","1","693","690","Car-Accessories/Ignition-System/Distributors-Parts","3",null,null
"694","1","694","690","Car-Accessories/Ignition-System/Electronic-Ignition","3",null,null
"695","1","695","690","Car-Accessories/Ignition-System/Ignition-Wires","3",null,null
"696","1","696","690","Car-Accessories/Ignition-System/Key-Blanks","3",null,null
"697","1","697","690","Car-Accessories/Ignition-System/Spark-Plugs-Glow-Plugs","3",null,null
"698","1","698","690","Car-Accessories/Ignition-System/Other","3",null,null
"699","1","699","492","Car-Accessories/Interior","2",null,null
"700","1","700","699","Car-Accessories/Interior/Cargo-Nets-Trays-Liners-","3",null,null
"701","1","701","699","Car-Accessories/Interior/Consoles-Parts","3",null,null
"702","1","702","699","Car-Accessories/Interior/Cup-Holders","3",null,null
"703","1","703","699","Car-Accessories/Interior/Dash-Parts","3",null,null
"704","1","704","699","Car-Accessories/Interior/Floor-Mats-Carpets","3",null,null
"705","1","705","699","Car-Accessories/Interior/Glove-Boxes","3",null,null
"706","1","706","699","Car-Accessories/Interior/Interior-Door-Handles","3",null,null
"707","1","707","699","Car-Accessories/Interior/Interior-Door-Panels-Parts","3",null,null
"708","1","708","699","Car-Accessories/Interior/Mirrors","3",null,null
"709","1","709","699","Car-Accessories/Interior/Pedals-Pads","3",null,null
"710","1","710","699","Car-Accessories/Interior/Seats","3",null,null
"711","1","711","699","Car-Accessories/Interior/Seat-Belt-Shoulder-Pads","3",null,null
"712","1","712","699","Car-Accessories/Interior/Seat-Covers","3",null,null
"713","1","713","699","Car-Accessories/Interior/Shift-Knobs-Boots","3",null,null
"714","1","714","699","Car-Accessories/Interior/Steering-Wheels-Horns","3",null,null
"715","1","715","699","Car-Accessories/Interior/Sun-Visors","3",null,null
"716","1","716","699","Car-Accessories/Interior/Switches-Controls","3",null,null
"717","1","717","699","Car-Accessories/Interior/Trim","3",null,null
"718","1","718","699","Car-Accessories/Interior/Window-Cranks-Parts","3",null,null
"719","1","719","699","Car-Accessories/Interior/Window-Motors-Parts","3",null,null
"720","1","720","699","Car-Accessories/Interior/Other","3",null,null
"721","1","721","492","Car-Accessories/Suspension-Steering","2",null,null
"722","1","722","721","Car-Accessories/Suspension-Steering/Ball-Joints","3",null,null
"723","1","723","721","Car-Accessories/Suspension-Steering/Caster-Camber-Kits","3",null,null
"724","1","724","721","Car-Accessories/Suspension-Steering/Coil-Springs","3",null,null
"725","1","725","721","Car-Accessories/Suspension-Steering/Control-Arms-Parts","3",null,null
"726","1","726","721","Car-Accessories/Suspension-Steering/Leaf-Springs","3",null,null
"727","1","727","721","Car-Accessories/Suspension-Steering/Lift-Kits-Parts","3",null,null
"728","1","728","721","Car-Accessories/Suspension-Steering/Lower-Kits-Parts","3",null,null
"729","1","729","721","Car-Accessories/Suspension-Steering/Pitman-Idler-Arms","3",null,null
"730","1","730","721","Car-Accessories/Suspension-Steering/Power-Steering-Pumps-Parts","3",null,null
"731","1","731","721","Car-Accessories/Suspension-Steering/Steering-Racks-Gear-Boxes","3",null,null
"732","1","732","721","Car-Accessories/Suspension-Steering/Shocks-Struts","3",null,null
"733","1","733","721","Car-Accessories/Suspension-Steering/Strut-Bars","3",null,null
"734","1","734","721","Car-Accessories/Suspension-Steering/Sway-Bars","3",null,null
"735","1","735","721","Car-Accessories/Suspension-Steering/Tie-Rod-Linkages","3",null,null
"736","1","736","721","Car-Accessories/Suspension-Steering/Other","3",null,null
"737","1","737","492","Car-Accessories/Transmission-and-Drivetrain","2",null,null
"738","1","738","737","Car-Accessories/Transmission-and-Drivetrain/Automatic-Transmission-Parts","3",null,null
"739","1","739","737","Car-Accessories/Transmission-and-Drivetrain/Axle-Parts","3",null,null
"740","1","740","737","Car-Accessories/Transmission-and-Drivetrain/CV-PartsCV","3",null,null
"741","1","741","737","Car-Accessories/Transmission-and-Drivetrain/Clutches-Parts","3",null,null
"742","1","742","737","Car-Accessories/Transmission-and-Drivetrain/Differentials-Parts","3",null,null
"743","1","743","737","Car-Accessories/Transmission-and-Drivetrain/Flywheels-Flexplates-Parts-Flexplates","3",null,null
"744","1","744","737","Car-Accessories/Transmission-and-Drivetrain/Manual-Transmission-Parts","3",null,null
"745","1","745","737","Car-Accessories/Transmission-and-Drivetrain/Pressure-Plates","3",null,null
"746","1","746","737","Car-Accessories/Transmission-and-Drivetrain/Shifters","3",null,null
"747","1","747","737","Car-Accessories/Transmission-and-Drivetrain/Torque-Converters","3",null,null
"748","1","748","737","Car-Accessories/Transmission-and-Drivetrain/Transmission-Rebuild-Kits","3",null,null
"749","1","749","737","Car-Accessories/Transmission-and-Drivetrain/Universal-Joints-Driveshafts","3",null,null
"750","1","750","737","Car-Accessories/Transmission-and-Drivetrain/Other","3",null,null
"751","1","751","492","Car-Accessories/Turbos-Nitrous-Superchargers-","2",null,null
"752","1","752","751","Car-Accessories/Turbos-Nitrous-Superchargers-/Nitrous-Parts","3",null,null
"753","1","753","751","Car-Accessories/Turbos-Nitrous-Superchargers-/Superchargers-Parts","3",null,null
"754","1","754","751","Car-Accessories/Turbos-Nitrous-Superchargers-/Turbo-Chargers-Parts","3",null,null
"755","1","755","492","Car-Accessories/Wheels-Tires-Parts-","2",null,null
"756","1","756","755","Car-Accessories/Wheels-Tires-Parts-/Hub-Caps","3",null,null
"757","1","757","755","Car-Accessories/Wheels-Tires-Parts-/Tire-Pressure-Monitor-SystemsTire-Pressure-Monitor-Systems","3",null,null
"758","1","758","755","Car-Accessories/Wheels-Tires-Parts-/Tires","3",null,null
"759","1","759","755","Car-Accessories/Wheels-Tires-Parts-/Tire-Accessories","3",null,null
"760","1","760","755","Car-Accessories/Wheels-Tires-Parts-/Tire-ChainsTire-Chains","3",null,null
"761","1","761","755","Car-Accessories/Wheels-Tires-Parts-/Valve-Stems-Caps","3",null,null
"762","1","762","755","Car-Accessories/Wheels-Tires-Parts-/Wheels","3",null,null
"763","1","763","755","Car-Accessories/Wheels-Tires-Parts-/Wheel-Tire-Packages","3",null,null
"764","1","764","755","Car-Accessories/Wheels-Tires-Parts-/Wheel-Center-Caps","3",null,null
"765","1","765","755","Car-Accessories/Wheels-Tires-Parts-/Wheel-Lugs","3",null,null
"766","1","766","755","Car-Accessories/Wheels-Tires-Parts-/Wheel-Hubs-Bearings","3",null,null
"767","1","767","755","Car-Accessories/Wheels-Tires-Parts-/Other","3",null,null
"768","1","768",null,"Apparel-Jewelry","1",null,null
"769","1","769","768","Apparel-Jewelry/Women-s-Apparel","2",null,null
"770","1","770","769","Apparel-Jewelry/Women-s-Apparel/Blazers-Coats","3",null,null
"771","1","771","769","Apparel-Jewelry/Women-s-Apparel/Knitwear","3",null,null
"772","1","772","769","Apparel-Jewelry/Women-s-Apparel/Shirts-Blouses","3",null,null
"773","1","773","769","Apparel-Jewelry/Women-s-Apparel/Dresses","3",null,null
"774","1","774","769","Apparel-Jewelry/Women-s-Apparel/Tops-Vests","3",null,null
"775","1","775","769","Apparel-Jewelry/Women-s-Apparel/Jumpsuits-Rompers","3",null,null
"776","1","776","769","Apparel-Jewelry/Women-s-Apparel/Hosiery-Leggings","3",null,null
"777","1","777","769","Apparel-Jewelry/Women-s-Apparel/Underwear","3",null,null
"778","1","778","769","Apparel-Jewelry/Women-s-Apparel/Swimwear","3",null,null
"779","1","779","769","Apparel-Jewelry/Women-s-Apparel/Socks","3",null,null
"780","1","780","768","Apparel-Jewelry/Men-s-Apparel","2",null,null
"781","1","781","780","Apparel-Jewelry/Men-s-Apparel/Jeans-Pants","3",null,null
"782","1","782","780","Apparel-Jewelry/Men-s-Apparel/Jackets-Coats","3",null,null
"783","1","783","780","Apparel-Jewelry/Men-s-Apparel/T-shirts-Polo","3",null,null
"784","1","784","780","Apparel-Jewelry/Men-s-Apparel/Underwear","3",null,null
"785","1","785","780","Apparel-Jewelry/Men-s-Apparel/Suits-Blazers","3",null,null
"786","1","786","780","Apparel-Jewelry/Men-s-Apparel/Socks","3",null,null
"787","1","787","780","Apparel-Jewelry/Men-s-Apparel/Swimmer","3",null,null
"788","1","788","768","Apparel-Jewelry/Sexy-Lingerie","2",null,null
"789","1","789","788","Apparel-Jewelry/Sexy-Lingerie/Women-s-Lingerie","3",null,null
"790","1","790","788","Apparel-Jewelry/Sexy-Lingerie/Men-s-Lingerie","3",null,null
"791","1","791","768","Apparel-Jewelry/Baby-Boys-Clothing","2",null,null
"792","1","792","791","Apparel-Jewelry/Baby-Boys-Clothing/Clothing-Sets","3",null,null
"793","1","793","791","Apparel-Jewelry/Baby-Boys-Clothing/Bodysuits-One-Pieces","3",null,null
"794","1","794","791","Apparel-Jewelry/Baby-Boys-Clothing/Accessories","3",null,null
"795","1","795","791","Apparel-Jewelry/Baby-Boys-Clothing/Socks-Leg-Warmers","3",null,null
"796","1","796","791","Apparel-Jewelry/Baby-Boys-Clothing/Pants","3",null,null
"797","1","797","791","Apparel-Jewelry/Baby-Boys-Clothing/Sleepwear-Robes","3",null,null
"798","1","798","791","Apparel-Jewelry/Baby-Boys-Clothing/Hoodies-Sweatshirts","3",null,null
"799","1","799","791","Apparel-Jewelry/Baby-Boys-Clothing/Outerwear-Coats","3",null,null
"800","1","800","791","Apparel-Jewelry/Baby-Boys-Clothing/Underwear-Diaper-Covers","3",null,null
"801","1","801","791","Apparel-Jewelry/Baby-Boys-Clothing/Shorts","3",null,null
"802","1","802","791","Apparel-Jewelry/Baby-Boys-Clothing/Sweaters","3",null,null
"803","1","803","791","Apparel-Jewelry/Baby-Boys-Clothing/Tops","3",null,null
"804","1","804","791","Apparel-Jewelry/Baby-Boys-Clothing/Swimwear","3",null,null
"805","1","805","768","Apparel-Jewelry/Baby-Girls-Clothing","2",null,null
"806","1","806","805","Apparel-Jewelry/Baby-Girls-Clothing/Clothing-Sets","3",null,null
"807","1","807","805","Apparel-Jewelry/Baby-Girls-Clothing/Bodysuits-One-Pieces","3",null,null
"808","1","808","805","Apparel-Jewelry/Baby-Girls-Clothing/Accessories","3",null,null
"809","1","809","805","Apparel-Jewelry/Baby-Girls-Clothing/Dresses","3",null,null
"810","1","810","805","Apparel-Jewelry/Baby-Girls-Clothing/Socks-Tights","3",null,null
"811","1","811","805","Apparel-Jewelry/Baby-Girls-Clothing/Pants","3",null,null
"812","1","812","805","Apparel-Jewelry/Baby-Girls-Clothing/Outerwear-Coats","3",null,null
"813","1","813","805","Apparel-Jewelry/Baby-Girls-Clothing/Sleepwear-Robes","3",null,null
"814","1","814","805","Apparel-Jewelry/Baby-Girls-Clothing/Shorts","3",null,null
"815","1","815","805","Apparel-Jewelry/Baby-Girls-Clothing/Underwear-Diaper-Covers-Bloomers","3",null,null
"816","1","816","805","Apparel-Jewelry/Baby-Girls-Clothing/Skirts","3",null,null
"817","1","817","805","Apparel-Jewelry/Baby-Girls-Clothing/Hoodies-Sweatshirts","3",null,null
"818","1","818","805","Apparel-Jewelry/Baby-Girls-Clothing/Swimwear","3",null,null
"819","1","819","805","Apparel-Jewelry/Baby-Girls-Clothing/Sweaters","3",null,null
"820","1","820","805","Apparel-Jewelry/Baby-Girls-Clothing/Tops","3",null,null
"821","1","821","768","Apparel-Jewelry/Girls-Clothing","2",null,null
"822","1","822","821","Apparel-Jewelry/Girls-Clothing/Dresses","3",null,null
"823","1","823","821","Apparel-Jewelry/Girls-Clothing/Clothing-Sets","3",null,null
"824","1","824","821","Apparel-Jewelry/Girls-Clothing/Accessories","3",null,null
"825","1","825","821","Apparel-Jewelry/Girls-Clothing/Outerwear-Coats","3",null,null
"826","1","826","821","Apparel-Jewelry/Girls-Clothing/Tops-Tees","3",null,null
"827","1","827","821","Apparel-Jewelry/Girls-Clothing/Pants","3",null,null
"828","1","828","821","Apparel-Jewelry/Girls-Clothing/Skirts","3",null,null
"829","1","829","821","Apparel-Jewelry/Girls-Clothing/Hoodies-Sweatshirts","3",null,null
"830","1","830","821","Apparel-Jewelry/Girls-Clothing/Blouses-Shirts","3",null,null
"831","1","831","821","Apparel-Jewelry/Girls-Clothing/Swimwear","3",null,null
"832","1","832","821","Apparel-Jewelry/Girls-Clothing/Sweaters","3",null,null
"833","1","833","821","Apparel-Jewelry/Girls-Clothing/Jeans","3",null,null
"834","1","834","821","Apparel-Jewelry/Girls-Clothing/Socks-Tights-Leggings","3",null,null
"835","1","835","821","Apparel-Jewelry/Girls-Clothing/Sleepwear-Robes","3",null,null
"836","1","836","821","Apparel-Jewelry/Girls-Clothing/Underwear","3",null,null
"837","1","837","821","Apparel-Jewelry/Girls-Clothing/Shorts","3",null,null
"838","1","838","821","Apparel-Jewelry/Girls-Clothing/Overalls","3",null,null
"839","1","839","768","Apparel-Jewelry/Boys-Clothing","2",null,null
"840","1","840","839","Apparel-Jewelry/Boys-Clothing/Clothing-Sets","3",null,null
"841","1","841","839","Apparel-Jewelry/Boys-Clothing/Accessories","3",null,null
"842","1","842","839","Apparel-Jewelry/Boys-Clothing/Outerwear-Coats","3",null,null
"843","1","843","839","Apparel-Jewelry/Boys-Clothing/Tops-Tees","3",null,null
"844","1","844","839","Apparel-Jewelry/Boys-Clothing/Pants","3",null,null
"845","1","845","839","Apparel-Jewelry/Boys-Clothing/Leg-Warmers","3",null,null
"846","1","846","839","Apparel-Jewelry/Boys-Clothing/Hoodies-Sweatshirts","3",null,null
"847","1","847","839","Apparel-Jewelry/Boys-Clothing/Blouses-Shirts","3",null,null
"848","1","848","839","Apparel-Jewelry/Boys-Clothing/Swimwear","3",null,null
"849","1","849","839","Apparel-Jewelry/Boys-Clothing/Sweaters","3",null,null
"850","1","850","839","Apparel-Jewelry/Boys-Clothing/Jeans","3",null,null
"851","1","851","839","Apparel-Jewelry/Boys-Clothing/Suits-Blazers","3",null,null
"852","1","852","839","Apparel-Jewelry/Boys-Clothing/Socks","3",null,null
"853","1","853","839","Apparel-Jewelry/Boys-Clothing/Sleepwear-Robes","3",null,null
"854","1","854","839","Apparel-Jewelry/Boys-Clothing/Underwear","3",null,null
"855","1","855","839","Apparel-Jewelry/Boys-Clothing/Shorts","3",null,null
"856","1","856","839","Apparel-Jewelry/Boys-Clothing/Overalls","3",null,null
"857","1","857","768","Apparel-Jewelry/Skirts","2",null,null
"858","1","858","768","Apparel-Jewelry/Hats-Caps","2",null,null
"859","1","859","768","Apparel-Jewelry/Hip-Scarves","2",null,null
"860","1","860","768","Apparel-Jewelry/Bridesmaid-Dresses","2",null,null
"861","1","861","768","Apparel-Jewelry/Scarves-Shawls","2",null,null
"862","1","862","768","Apparel-Jewelry/Accessories","2",null,null
"863","1","863","768","Apparel-Jewelry/Women-s-Shoes","2",null,null
"864","1","864","863","Apparel-Jewelry/Women-s-Shoes/Boots","3",null,null
"865","1","865","863","Apparel-Jewelry/Women-s-Shoes/Pumps","3",null,null
"866","1","866","863","Apparel-Jewelry/Women-s-Shoes/Women-s-Fashion-Sneakers","3",null,null
"867","1","867","863","Apparel-Jewelry/Women-s-Shoes/Flats","3",null,null
"868","1","868","863","Apparel-Jewelry/Women-s-Shoes/Sandals","3",null,null
"869","1","869","863","Apparel-Jewelry/Women-s-Shoes/Slippers","3",null,null
"870","1","870","863","Apparel-Jewelry/Women-s-Shoes/Oxfords","3",null,null
"871","1","871","863","Apparel-Jewelry/Women-s-Shoes/Boat-Shoes","3",null,null
"872","1","872","863","Apparel-Jewelry/Women-s-Shoes/Loafers","3",null,null
"873","1","873","863","Apparel-Jewelry/Women-s-Shoes/Mules-Clogs","3",null,null
"874","1","874","768","Apparel-Jewelry/Bags","2",null,null
"875","1","875","874","Apparel-Jewelry/Bags/Women-s-Bags","3",null,null
"876","1","876","875","Apparel-Jewelry/Bags/Women-s-Bags/Handbags","4",null,null
"877","1","877","875","Apparel-Jewelry/Bags/Women-s-Bags/Backpack","4",null,null
"878","1","878","875","Apparel-Jewelry/Bags/Women-s-Bags/Crossbody-Bags","4",null,null
"879","1","879","875","Apparel-Jewelry/Bags/Women-s-Bags/Cluches-Bags","4",null,null
"880","1","880","875","Apparel-Jewelry/Bags/Women-s-Bags/Wallets","4",null,null
"881","1","881","875","Apparel-Jewelry/Bags/Women-s-Bags/Cosmatic-Bags","4",null,null
"882","1","882","874","Apparel-Jewelry/Bags/Men-s-Bags","3",null,null
"883","1","883","882","Apparel-Jewelry/Bags/Men-s-Bags/Men-s-Handbags","4",null,null
"884","1","884","882","Apparel-Jewelry/Bags/Men-s-Bags/Men-s-Backpacks","4",null,null
"885","1","885","882","Apparel-Jewelry/Bags/Men-s-Bags/Men-s-Wallets","4",null,null
"886","1","886","874","Apparel-Jewelry/Bags/Luggage-Travel-Bags","3",null,null
"887","1","887","768","Apparel-Jewelry/Watches","2",null,null
"888","1","888","887","Apparel-Jewelry/Watches/Men-Watch","3",null,null
"889","1","889","887","Apparel-Jewelry/Watches/Women-Watch","3",null,null
"890","1","890","887","Apparel-Jewelry/Watches/Children-Watch","3",null,null
"891","1","891","887","Apparel-Jewelry/Watches/Sports-watch","3",null,null
"892","1","892","887","Apparel-Jewelry/Watches/Bracelet-Watch","3",null,null
"893","1","893","887","Apparel-Jewelry/Watches/Pocket-Watch","3",null,null
"894","1","894","887","Apparel-Jewelry/Watches/Mechanical-Watch","3",null,null
"895","1","895","887","Apparel-Jewelry/Watches/Watch-Accessories","3",null,null
"896","1","896","768","Apparel-Jewelry/Fashion-Jewelry","2",null,null
"897","1","897","896","Apparel-Jewelry/Fashion-Jewelry/Necklaces-Pendants","3",null,null
"898","1","898","896","Apparel-Jewelry/Fashion-Jewelry/Bracelets-Bangles","3",null,null
"899","1","899","896","Apparel-Jewelry/Fashion-Jewelry/Earrings","3",null,null
"900","1","900","896","Apparel-Jewelry/Fashion-Jewelry/Rings","3",null,null
"901","1","901","896","Apparel-Jewelry/Fashion-Jewelry/Jewelry-Sets","3",null,null
"902","1","902","896","Apparel-Jewelry/Fashion-Jewelry/Hair-Jewelry","3",null,null
"903","1","903","896","Apparel-Jewelry/Fashion-Jewelry/Tie-Clips-Cufflinks","3",null,null
"904","1","904","896","Apparel-Jewelry/Fashion-Jewelry/Brooches","3",null,null
"905","1","905","896","Apparel-Jewelry/Fashion-Jewelry/Charms","3",null,null
"906","1","906","896","Apparel-Jewelry/Fashion-Jewelry/Body-Jewelry","3",null,null
"907","1","907","896","Apparel-Jewelry/Fashion-Jewelry/Anklets","3",null,null
"908","1","908","768","Apparel-Jewelry/Jewelry-Supplies","2",null,null
"909","1","909","908","Apparel-Jewelry/Jewelry-Supplies/Jewelry-Scale","3",null,null
"910","1","910","908","Apparel-Jewelry/Jewelry-Supplies/Jewellery-Boxes-Cases","3",null,null
"911","1","911","908","Apparel-Jewelry/Jewelry-Supplies/Jewelry-Display-Stand","3",null,null
"912","1","912","908","Apparel-Jewelry/Jewelry-Supplies/Keychain","3",null,null
"913","1","913","768","Apparel-Jewelry/Jewelry-Design-Repair","2",null,null
"914","1","914","913","Apparel-Jewelry/Jewelry-Design-Repair/DIY-Jewelry","3",null,null
"915","1","915","913","Apparel-Jewelry/Jewelry-Design-Repair/Jewelry-Tools","3",null,null
"916","1","916",null,"Home-and-Garden","1",null,null
"917","1","917","916","Home-and-Garden/Lifestyle-Gadgest","2",null,null
"918","1","918","917","Home-and-Garden/Lifestyle-Gadgest/Housekeeping-Organization","3",null,null
"919","1","919","917","Home-and-Garden/Lifestyle-Gadgest/Temp-Heater-Glue-Gun","3",null,null
"920","1","920","917","Home-and-Garden/Lifestyle-Gadgest/Energy-Saving-Gadgest","3",null,null
"921","1","921","917","Home-and-Garden/Lifestyle-Gadgest/Glasses","3",null,null
"922","1","922","917","Home-and-Garden/Lifestyle-Gadgest/Keychains","3",null,null
"923","1","923","917","Home-and-Garden/Lifestyle-Gadgest/Other-Lifestyle-Gadgest","3",null,null
"924","1","924","916","Home-and-Garden/Festive-Party-Supplies","2",null,null
"925","1","925","924","Home-and-Garden/Festive-Party-Supplies/Christmas-Supplies","3",null,null
"926","1","926","924","Home-and-Garden/Festive-Party-Supplies/Halloween-Supplies","3",null,null
"927","1","927","924","Home-and-Garden/Festive-Party-Supplies/Wedding-Supplies","3",null,null
"928","1","928","924","Home-and-Garden/Festive-Party-Supplies/Other-Holiday-Supplies","3",null,null
"929","1","929","916","Home-and-Garden/Baby-Supplies","2",null,null
"930","1","930","929","Home-and-Garden/Baby-Supplies/Baby-Gear","3",null,null
"931","1","931","929","Home-and-Garden/Baby-Supplies/Baby-Safety-Health","3",null,null
"932","1","932","929","Home-and-Garden/Baby-Supplies/Mummy-package","3",null,null
"933","1","933","916","Home-and-Garden/Safety-Security","2",null,null
"934","1","934","933","Home-and-Garden/Safety-Security/IP-Cameras","3",null,null
"935","1","935","933","Home-and-Garden/Safety-Security/CCTV-Cameras","3",null,null
"936","1","936","933","Home-and-Garden/Safety-Security/Baby-Monitor","3",null,null
"937","1","937","933","Home-and-Garden/Safety-Security/Door-Access-Doorbell","3",null,null
"938","1","938","933","Home-and-Garden/Safety-Security/Wireless-Camera-Receiver","3",null,null
"939","1","939","933","Home-and-Garden/Safety-Security/Two-Way-Radio","3",null,null
"940","1","940","933","Home-and-Garden/Safety-Security/Video-monitor","3",null,null
"941","1","941","933","Home-and-Garden/Safety-Security/Fire-Safety","3",null,null
"942","1","942","933","Home-and-Garden/Safety-Security/First-Aid-Kits-Protection-Equipment","3",null,null
"943","1","943","933","Home-and-Garden/Safety-Security/Personal-Defense-Equipment","3",null,null
"944","1","944","933","Home-and-Garden/Safety-Security/Alarms-Secuity-Padlock","3",null,null
"945","1","945","916","Home-and-Garden/Pet-Supplies","2",null,null
"946","1","946","945","Home-and-Garden/Pet-Supplies/Dog-Clothing","3",null,null
"947","1","947","945","Home-and-Garden/Pet-Supplies/Collars","3",null,null
"948","1","948","945","Home-and-Garden/Pet-Supplies/Pet-Toys","3",null,null
"949","1","949","945","Home-and-Garden/Pet-Supplies/Pet-Beds-Grooming","3",null,null
"950","1","950","945","Home-and-Garden/Pet-Supplies/Aquarium-Accessories","3",null,null
"951","1","951","916","Home-and-Garden/Home-living","2",null,null
"952","1","952","951","Home-and-Garden/Home-living/Faucets","3",null,null
"953","1","953","951","Home-and-Garden/Home-living/Kitchen-Dining","3",null,null
"954","1","954","951","Home-and-Garden/Home-living/Bath","3",null,null
"955","1","955","951","Home-and-Garden/Home-living/Bedding","3",null,null
"956","1","956","951","Home-and-Garden/Home-living/Plugs-Sockets","3",null,null
"957","1","957","951","Home-and-Garden/Home-living/Housekeeping-Gadgets","3",null,null
"958","1","958","951","Home-and-Garden/Home-living/Home-Decorations-Furnishings","3",null,null
